stcov,estmethod,beta,typeone,rmse,mbias
ind,ols,beta1,0.5985,0.5798517429928236,0.0011019443220574043
ind,ols,beta2,0.461,0.4309250540470373,0.010488504869522783
ind,ols,beta3,0.0465,0.14541410747823416,-0.002547990696015624
product,reml,beta1,0.0925,0.5061486334217473,0.006193439191982833
product,reml,beta2,0.145,0.3419862317392214,3.866644493097447e-4
product,reml,beta3,0.0515,0.062389973616309574,-7.601354791203611e-4
product,svwls,beta1,0.119,0.5058975554077783,0.0041541061672624785
product,svwls,beta2,0.1975,0.34203879845545004,7.44825507029454e-4
product,svwls,beta3,0.099,0.06677596762179668,-2.430068000003278e-4
productsum,reml,beta1,0.0375,0.4866943021803942,0.0014011608776833958
productsum,reml,beta2,0.0695,0.3371033303196648,0.0015752474058287626
productsum,reml,beta3,0.047,0.06117397398835385,-7.605054951354439e-4
productsum,svwls,beta1,0.089,0.5014789382123637,0.003607573793585307
productsum,svwls,beta2,0.1525,0.34433366717145925,-5.60380700339084e-4
productsum,svwls,beta3,0.0535,0.06467937896216322,-9.433610818712809e-4
sum_with_error,reml,beta1,0.0605,0.5055493152919772,-0.0021393661492209374
sum_with_error,reml,beta2,0.0625,0.34271126644009153,-7.983305686639239e-4
sum_with_error,reml,beta3,0.041,0.096976233796573455,-7.516717089886866e-4
sum_with_error,svwls,beta1,0.06,0.507705715582666,-0.0019967334044270887
sum_with_error,svwls,beta2,0.117,0.34475185799273744,-0.0018995304274879823
sum_with_error,svwls,beta3,0.0855,0.09716708422033692,-9.106869199607157e-4
