stcov,estmethod,quantity,mean_result
product,reml,convergence,0.02
productsum,reml,convergence,0.06
sum_with_error,reml,convergence,0.045
product,svwls,convergence,0
productsum,svwls,convergence,0
sum_with_error,svwls,convergence,0
product,reml,counts,112.233
productsum,reml,counts,143.531
sum_with_error,reml,counts,104.658
product,svwls,counts,504.8545
productsum,svwls,counts,1336.309
sum_with_error,svwls,counts,1102.9485
product,reml,optim_seconds,6.697044530391693
productsum,reml,optim_seconds,27.627559011101724
sum_with_error,reml,optim_seconds,8.57216027534008
product,svwls,optim_seconds,0.056511237502098084
productsum,svwls,optim_seconds,0.16242397904396058
sum_with_error,svwls,optim_seconds,0.15164450311660765
product,reml,stemp_seconds,0
productsum,reml,stemp_seconds,0
sum_with_error,reml,stemp_seconds,0
product,svwls,stemp_seconds,0.3185410767396291
productsum,svwls,stemp_seconds,0.3185410767396291
sum_with_error,svwls,stemp_seconds,0.3185410767396291
product,reml,value,3021.5376754970594
productsum,reml,value,2452.033737899531
sum_with_error,reml,value,2451.2997002528073
product,svwls,value,27445.515562846474
productsum,svwls,value,24717.475519225798
sum_with_error,svwls,value,24803.136210382985
