stcov,estmethod,beta,est,se,z
productsum,reml,beta0,79.14884774776613,7.308494320386679,10.82970640436627
productsum,reml,beta1,-0.012303367301615636,0.001556448208401415,-7.904771411733696
productsum,reml,beta2,0.3078773655345574,0.07483622520223707,4.114015167154022
productsum,reml,beta3,-0.1481815851450909,0.11935889959024801,-1.2414791494709607
productsum,svwls,beta0,76.22577789717015,4.540567103009931,16.787721922805694
productsum,svwls,beta1,-0.006212439531330837,0.0016664341621675704,-3.7279837825997095
productsum,svwls,beta2,0.3176891646130976,0.06974109222122325,4.555265116946649
productsum,svwls,beta3,-0.16497027727142477,0.12892998207793305,-1.2795338571574981
sum_with_error,reml,beta0,78.19216225859803,10.788977202724903,7.247411945485392
sum_with_error,reml,beta1,-0.012616473698464472,0.001547233698508879,-8.154213361965546
sum_with_error,reml,beta2,0.31809980016415773,0.13131613156017935,2.4223969773156124
sum_with_error,reml,beta3,-0.2005666138124804,0.12382259046294858,-1.6197901615739168
sum_with_error,svwls,beta0,73.44167508886864,1.7455566997974843,42.07349729595675
sum_with_error,svwls,beta1,-0.002876696989579133,0.0013854234509919324,-2.0764026966047684
sum_with_error,svwls,beta2,0.36212429892055603,0.04852935324249889,7.461964248957491
sum_with_error,svwls,beta3,-0.21159166974792715,0.13059352414556627,-1.620230950441893
product,reml,beta0,76.2465622589976,4.367582629929778,17.45738288647409
product,reml,beta1,-0.007153760456975834,0.001145812139673058,-6.243397333019235
product,reml,beta2,0.32025893044453874,0.15821874320608037,2.024152916114373
product,reml,beta3,-0.1495243453967667,0.12300463846169611,-1.2155992429775637
product,svwls,beta0,73.0367138825067,1.5426733645081931,47.34425028838877
product,svwls,beta1,-0.00290716706304432,0.0012842316879001512,-2.263740328505546
product,svwls,beta2,0.3573151921527948,0.0406708446908724,8.785536540208264
product,svwls,beta3,-0.23763426623482578,0.14277071937381422,-1.664446794672456
ind,ols,beta0,74.00727049007983,0.5513462933176416,134.2301043591904
ind,ols,beta1,-0.003294721807064761,3.3362685394579294e-4,-9.875469459661904
ind,ols,beta2,0.35822568967906077,0.025732177610677247,13.921312649824843
ind,ols,beta3,-0.9168339882123385,0.22315209725967322,-4.108560929837264
