stcov,estmethod,quantity,result
productsum,reml,value,5378.75516372124
productsum,reml,counts,80
productsum,reml,convergence,0
productsum,reml,stemp_seconds,0
productsum,reml,optim_seconds,12.787117958068848
productsum,reml_chol,value,5378.755163721242
productsum,reml_chol,counts,80
productsum,reml_chol,convergence,0
productsum,reml_chol,stemp_seconds,0
productsum,reml_chol,optim_seconds,40.949920892715454
productsum,svwls,value,7572.184454100371
productsum,svwls,counts,2399
productsum,svwls,convergence,0
productsum,svwls,stemp_seconds,0.17180434862772623
productsum,svwls,optim_seconds,0.3638269901275635
sum_with_error,reml,value,5503.2861693361565
sum_with_error,reml,counts,95
sum_with_error,reml,convergence,0
sum_with_error,reml,stemp_seconds,0
sum_with_error,reml,optim_seconds,8.62111496925354
sum_with_error,reml_chol,value,5503.286169336148
sum_with_error,reml_chol,counts,95
sum_with_error,reml_chol,convergence,0
sum_with_error,reml_chol,stemp_seconds,0
sum_with_error,reml_chol,optim_seconds,49.88525605201721
sum_with_error,svwls,value,7963.752768144544
sum_with_error,svwls,counts,848
sum_with_error,svwls,convergence,0
sum_with_error,svwls,stemp_seconds,0.17180434862772623
sum_with_error,svwls,optim_seconds,0.1548938751220703
product,reml,value,5485.715081537718
product,reml,counts,179
product,reml,convergence,0
product,reml,stemp_seconds,0
product,reml,optim_seconds,12.62594985961914
product,reml_chol,value,5485.715081537718
product,reml_chol,counts,179
product,reml_chol,convergence,0
product,reml_chol,stemp_seconds,0
product,reml_chol,optim_seconds,92.73022198677063
product,svwls,value,8250.696924085
product,svwls,counts,332
product,svwls,convergence,0
product,svwls,stemp_seconds,0.17180434862772623
product,svwls,optim_seconds,0.06696391105651855
