stcov,estmethod,quantity,mean_result
product,reml,convergence,0.01
productsum,reml,convergence,0.02
sum_with_error,reml,convergence,0.02
product,svwls,convergence,0
productsum,svwls,convergence,0.005
sum_with_error,svwls,convergence,0
product,reml,counts,85.327
productsum,reml,counts,75.6035
sum_with_error,reml,counts,56.322
product,svwls,counts,655.3065
productsum,svwls,counts,1508.998
sum_with_error,svwls,counts,1240.8105
product,reml,optim_seconds,4.947122612714767
productsum,reml,optim_seconds,14.090049536705017
sum_with_error,reml,optim_seconds,4.535376043081284
product,svwls,optim_seconds,0.07235533189773559
productsum,svwls,optim_seconds,0.1807547150850296
sum_with_error,svwls,optim_seconds,0.1444007443189621
product,reml,stemp_seconds,0
productsum,reml,stemp_seconds,0
sum_with_error,reml,stemp_seconds,0
product,svwls,stemp_seconds,0.31197883327802023
productsum,svwls,stemp_seconds,0.31197883327802023
sum_with_error,svwls,stemp_seconds,0.31197883327802023
product,reml,value,5105.233338915068
productsum,reml,value,4598.065801729858
sum_with_error,reml,value,4597.097907776292
product,svwls,value,11679.688612853752
productsum,svwls,value,9922.787915529905
sum_with_error,svwls,value,9935.396481848697
