stcov,estmethod,beta,typeone,rmse,mbias
ind,ols,beta1,0.702,0.7395424643978259,0.00512910410841234
ind,ols,beta2,0.348,0.3765767955214796,-0.014133279601489468
ind,ols,beta3,0.061,0.1349745687379925,-0.0010893239846688821
product,reml,beta1,0.2565,0.5901721998464177,-0.006480032008385537
product,reml,beta2,0.2765,0.1810226258712164,-0.0044185505254627395
product,reml,beta3,0.105,0.022993295049559905,-6.096158306694875e-4
product,svwls,beta1,0.093,0.5728189293509482,-0.007855493681270708
product,svwls,beta2,0.3275,0.15925733884037732,-0.0023622251481686877
product,svwls,beta3,0.1835,0.026164616787625862,-9.236045823394204e-4
productsum,reml,beta1,0.0605,0.5366131023548147,-0.006952534589986935
productsum,reml,beta2,0.096,0.15365498323356175,-0.003066887890263217
productsum,reml,beta3,0.0535,0.017483491671295134,-5.166068211365423e-4
productsum,svwls,beta1,0.0645,0.5654921380470158,-0.005396534271938033
productsum,svwls,beta2,0.16,0.15739148791783406,-0.002277008480598113
productsum,svwls,beta3,0.131,0.019483941800130827,-0.0010101623574510518
sum_with_error,reml,beta1,0.059,0.5375548402812996,-0.0047890384274815
sum_with_error,reml,beta2,0.093,0.15143400866978424,-0.004087359424835208
sum_with_error,reml,beta3,0.053,0.01747297284438001,-5.28633021873571e-4
sum_with_error,svwls,beta1,0.063,0.5641504549085794,-0.008062485721988045
sum_with_error,svwls,beta2,0.155,0.15967373075597643,-0.002691291837651406
sum_with_error,svwls,beta3,0.064,0.01898936178214444,-4.725900026105883e-4
