stcov,estmethod,beta,typeone,rmse,mbias
ind,ols,beta1,0.6945,0.6869512187473913,-2.8720505052301097e-4
ind,ols,beta2,0.492,0.43618439826711763,0.012168866890210331
ind,ols,beta3,0.046,0.13458955387974864,-0.0014376676917036784
product,reml,beta1,0.0905,0.5505470309081587,-0.010871630793924296
product,reml,beta2,0.3995,0.1985826883520412,0.004403450655623878
product,reml,beta3,0.084,0.05263576806177009,-0.002354036738414609
product,svwls,beta1,0.1285,0.4882444544793223,-0.005395399532400437
product,svwls,beta2,0.1285,0.18447750075068867,4.216990860691436e-5
product,svwls,beta3,0.3925,0.05890229563909329,-0.0017980560971802863
productsum,reml,beta1,0.063,0.44168717049440476,-0.008070532153004689
productsum,reml,beta2,0.062,0.1449906473250748,0.0037294078080310216
productsum,reml,beta3,0.048,0.04093559776950875,-0.0013985164961570647
productsum,svwls,beta1,0.056,0.46980991858658117,-0.00878968632388825
productsum,svwls,beta2,0.0735,0.16038699087732322,0.004414181284011601
productsum,svwls,beta3,0.074,0.0416838886968374,-0.0014933623773856434
sum_with_error,reml,beta1,0.061,0.4404903857186863,-0.008945872008234603
sum_with_error,reml,beta2,0.058,0.14473729020113343,0.002950890915638011
sum_with_error,reml,beta3,0.0505,0.040899084059760546,-0.001266761090651622
sum_with_error,svwls,beta1,0.0565,0.4685462101814174,-0.007951030530995207
sum_with_error,svwls,beta2,0.0825,0.16206525069659045,0.006364518547247847
sum_with_error,svwls,beta3,0.0695,0.04125266751467103,-0.0012794603214221396
