"","stcov","estmethod","quantity","mean_result"
"1","product","reml","convergence",0.01
"2","productsum","reml","convergence",0.005
"3","sum_with_error","reml","convergence",0
"4","product","svwls","convergence",0
"5","productsum","svwls","convergence",0
"6","sum_with_error","svwls","convergence",0
"7","product","reml","counts",82.274
"8","productsum","reml","counts",76.6395
"9","sum_with_error","reml","counts",52.797
"10","product","svwls","counts",691.5435
"11","productsum","svwls","counts",1932.104
"12","sum_with_error","svwls","counts",1450.844
"13","product","reml","optim_seconds",27.6908958775997
"14","productsum","reml","optim_seconds",107.205108768344
"15","sum_with_error","reml","optim_seconds",17.7254559557438
"16","product","svwls","optim_seconds",0.273521986842155
"17","productsum","svwls","optim_seconds",0.843691599369049
"18","sum_with_error","svwls","optim_seconds",0.624233165979385
"19","product","reml","stemp_seconds",0
"20","productsum","reml","stemp_seconds",0
"21","sum_with_error","reml","stemp_seconds",0
"22","product","svwls","stemp_seconds",21.5870624340375
"23","productsum","svwls","stemp_seconds",21.5870624340375
"24","sum_with_error","svwls","stemp_seconds",21.5870624340375
"25","product","reml","value",6287.41876891629
"26","productsum","reml","value",6250.65315452692
"27","sum_with_error","reml","value",6643.66889923631
"28","product","svwls","value",10182.55721704
"29","productsum","svwls","value",9826.45982359916
"30","sum_with_error","svwls","value",10098.8705105144
