"","seed"
"1",859942763
"2",1790462159
"3",449491833
"4",120114901
"5",1960647751
"6",1173781907
"7",1367510822
"8",1127822255
"9",1664410444
"10",235919258
"11",1675933824
"12",907688393
"13",601193180
"14",1878718282
"15",609547386
"16",1910050611
"17",1181747194
"18",62225592
"19",408656141
"20",1708025239
"21",1357528118
"22",1403881618
"23",1842318528
"24",1117262218
"25",1261019648
"26",1651740920
"27",1812462036
"28",1859871124
"29",1097613803
"30",845619948
"31",532425851
"32",1573846342
"33",2090132571
"34",1667377224
"35",1848824754
"36",1414510500
"37",671602145
"38",97643340
"39",167621436
"40",1903972442
"41",1887359713
"42",906893174
"43",2019757265
"44",2022951037
"45",1391565963
"46",914904580
"47",805463452
"48",1385877731
"49",1006870555
"50",2028958889
"51",1839577218
"52",319810453
"53",1488676361
"54",1189643520
"55",1955614982
"56",762348534
"57",1178356674
"58",1954964632
"59",2037717608
"60",396111784
"61",549190494
"62",1304288923
"63",1209010894
"64",816825169
"65",960386420
"66",1573662057
"67",76339228
"68",1638269291
"69",436432725
"70",1674483839
"71",1800159146
"72",1764156990
"73",582924622
"74",55485708
"75",688894623
"76",1882365081
"77",1438127258
"78",207008319
"79",322195870
"80",1231605818
"81",819942980
"82",174975131
"83",1440327198
"84",2106207299
"85",1075379010
"86",1025502566
"87",2110982872
"88",1365630255
"89",2017785693
"90",1292310066
"91",1386396075
"92",618560547
"93",907286431
"94",1357789427
"95",1455564843
"96",641515939
"97",1565322880
"98",1264998527
"99",1836424414
"100",2045946665
"101",98771225
"102",1597224020
"103",1075545125
"104",354627391
"105",2048410442
"106",1349894405
"107",1758756299
"108",105927372
"109",968825882
"110",1716913265
"111",731541849
"112",1922579633
"113",2127482012
"114",238538607
"115",379594715
"116",1236211051
"117",257617776
"118",766977894
"119",89786233
"120",1803670922
"121",1628517416
"122",1339555452
"123",402752500
"124",215424973
"125",1525828451
"126",490151217
"127",1479879836
"128",1688276874
"129",368964050
"130",320971379
"131",1766354099
"132",102777229
"133",460857529
"134",1969506136
"135",1151963837
"136",754603646
"137",486814125
"138",607658765
"139",1038312503
"140",505064926
"141",914897362
"142",2097172559
"143",2084646818
"144",1420874495
"145",1632823927
"146",1450945679
"147",170960126
"148",1757180929
"149",337118786
"150",1491724560
"151",1408510251
"152",1176383702
"153",1299053168
"154",1247872839
"155",1157224567
"156",1684419805
"157",1579068215
"158",1650228686
"159",1412041221
"160",317067249
"161",18793991
"162",2094482354
"163",159845278
"164",1924821508
"165",1308738046
"166",1094452924
"167",2078669476
"168",1944593460
"169",2113829588
"170",1346852699
"171",321731925
"172",245457412
"173",465970121
"174",171145399
"175",2086723767
