"","stcov","estmethod","beta","typeone","mse","bias"
"1","ind","ols","beta1",0.666,0.655253171075473,0.00340103050154196
"2","ind","ols","beta2",0.4555,0.415636582733661,0.00143818387622665
"3","ind","ols","beta3",0.061,0.1388775418714,-0.00519368322569553
"4","product","reml","beta1",0.076,0.579560130279191,0.00534532490484461
"5","product","reml","beta2",0.363,0.186038649858522,-0.00243806006051881
"6","product","reml","beta3",0.0645,0.0588967457572342,-0.00118307322720242
"7","product","svwls","beta1",0.1285,0.51915303329075,0.00325826553635413
"8","product","svwls","beta2",0.147,0.197097473096398,-0.00013477041422264
"9","product","svwls","beta3",0.2915,0.065795255126935,0.0000104279819608678
"10","productsum","reml","beta1",0.047,0.460100176367686,0.01036943222996
"11","productsum","reml","beta2",0.0715,0.159576851498874,-0.000931423894278218
"12","productsum","reml","beta3",0.051,0.0520294771958193,-0.00137888674935789
"13","productsum","svwls","beta1",0.0585,0.493621503386895,0.00483419123848514
"14","productsum","svwls","beta2",0.084,0.168657606762932,0.000620594749643025
"15","productsum","svwls","beta3",0.086,0.0560274184608308,-0.000920349349712218
"16","sum_with_error","reml","beta1",0.0655,0.452834504812163,0.00927790667142931
"17","sum_with_error","reml","beta2",0.066,0.15553191514468,0.000222426653641197
"18","sum_with_error","reml","beta3",0.062,0.0596237984435533,-0.00093886241634845
"19","sum_with_error","svwls","beta1",0.0585,0.490394142421183,0.00460771867912931
"20","sum_with_error","svwls","beta2",0.081,0.168022251781236,-0.00116642965112404
"21","sum_with_error","svwls","beta3",0.1,0.0601304050459286,-0.000694253335618698
