"","stcov","estmethod","quantity","mean_result"
"1","product","reml","convergence",0
"2","productsum","reml","convergence",0
"3","sum_with_error","reml","convergence",0
"4","product","svwls","convergence",0
"5","productsum","svwls","convergence",0.005
"6","sum_with_error","svwls","convergence",0
"7","product","reml","counts",88.304
"8","productsum","reml","counts",61.246
"9","sum_with_error","reml","counts",50.161
"10","product","svwls","counts",747.908
"11","productsum","svwls","counts",2033.415
"12","sum_with_error","svwls","counts",1558.54
"13","product","reml","optim_seconds",22.5293754787445
"14","productsum","reml","optim_seconds",59.1855246858597
"15","sum_with_error","reml","optim_seconds",12.8200796198845
"16","product","svwls","optim_seconds",0.291479230523109
"17","productsum","svwls","optim_seconds",0.863179845929146
"18","sum_with_error","svwls","optim_seconds",0.653708431720734
"19","product","reml","stemp_seconds",0
"20","productsum","reml","stemp_seconds",0
"21","sum_with_error","reml","stemp_seconds",0
"22","product","svwls","stemp_seconds",13.4037099273602
"23","productsum","svwls","stemp_seconds",13.4037099273602
"24","sum_with_error","svwls","stemp_seconds",13.4037099273602
"25","product","reml","value",3365.82434315142
"26","productsum","reml","value",3300.32124600901
"27","sum_with_error","reml","value",3571.9240996326
"28","product","svwls","value",7677.62309880375
"29","productsum","svwls","value",7303.098425906
"30","sum_with_error","svwls","value",7302.45182972942
