"","stcov","estmethod","beta","typeone","mse","bias"
"1","ind","ols","beta1",0.5795,0.469579587883189,-0.0302557342569699
"2","ind","ols","beta2",0.454,0.357849723734914,-0.011730107795338
"3","ind","ols","beta3",0.056,0.129486445252884,-0.00487893368165363
"4","product","reml","beta1",0.0555,0.403304103538505,-0.0248917076890068
"5","product","reml","beta2",0.0915,0.307938807500645,-0.00812253851608577
"6","product","reml","beta3",0.0525,0.0818593153187897,-0.00142651074911023
"7","product","svwls","beta1",0.071,0.379413247834603,-0.0222461949117463
"8","product","svwls","beta2",0.0895,0.309843948016461,-0.00648986703812605
"9","product","svwls","beta3",0.1595,0.0880703616554072,-0.000613345831396195
"10","productsum","reml","beta1",0.061,0.365984915271725,-0.0179342049729623
"11","productsum","reml","beta2",0.0665,0.29524568313916,-0.00733133987929848
"12","productsum","reml","beta3",0.048,0.0810659960415425,-0.00184488884003451
"13","productsum","svwls","beta1",0.0815,0.380832371633117,-0.0191157808464647
"14","productsum","svwls","beta2",0.143,0.304190802244448,-0.00632467132165287
"15","productsum","svwls","beta3",0.0475,0.0815321332487264,-0.00179563969702154
"16","sum_with_error","reml","beta1",0.057,0.369550513802028,-0.0184223440368448
"17","sum_with_error","reml","beta2",0.065,0.295283998805976,-0.00727413244570554
"18","sum_with_error","reml","beta3",0.0455,0.0825063928191393,-0.00211993766581212
"19","sum_with_error","svwls","beta1",0.0735,0.381820420422808,-0.0209396150769225
"20","sum_with_error","svwls","beta2",0.105,0.304369804116723,-0.00532931396300529
"21","sum_with_error","svwls","beta3",0.05,0.08283770851128,-0.00202410014087091
