"","seed"
"1",368509515
"2",1261586179
"3",1346781868
"4",963831798
"5",1928598202
"6",1093814584
"7",429782078
"8",1785033858
"9",2023200129
"10",1985200895
"11",921370403
"12",26901869
"13",640668848
"14",2070206333
"15",58820512
"16",288242988
"17",1623500687
"18",2071787670
"19",1975820096
"20",1668219313
"21",1882537471
"22",281685584
"23",1737299349
"24",1723065409
"25",959418520
"26",1669054198
"27",1698352928
"28",1368157140
"29",758852734
"30",1685962316
"31",261886525
"32",1518660073
"33",967942378
"34",296977358
"35",1311766728
"36",1472831906
"37",1761171584
"38",1395306654
"39",1377136891
"40",1124737562
"41",1763030413
"42",309390015
"43",1726156546
"44",196345123
"45",884010455
"46",834478199
"47",169100728
"48",1518605704
"49",1140027850
"50",155235208
"51",1088463152
"52",1144227919
"53",2011206412
"54",723465806
"55",2042875700
"56",1182557741
"57",1246854709
"58",1102873278
"59",1881852538
"60",1766527538
"61",612656289
"62",1530872743
"63",406501742
"64",2063610715
"65",224483441
"66",1754017827
"67",1484140293
"68",1344856499
"69",861619908
"70",1855390536
"71",270773172
"72",1346957971
"73",724988095
"74",307689859
"75",1137209709
"76",1528367446
"77",403240489
"78",1085462755
"79",913852196
"80",2058930095
"81",1722085767
"82",1783321993
"83",1214321278
"84",303573169
"85",647938186
"86",410950795
"87",863076570
"88",554434752
"89",617758133
"90",1804056359
"91",432446298
"92",912385294
"93",271400811
"94",990659631
"95",1092089148
"96",2066933973
"97",2104966016
"98",1210233909
"99",1432778551
"100",1677924362
"101",1087818496
"102",1950637151
"103",1549340585
"104",1966570676
"105",76876148
"106",181069502
"107",1890296030
"108",1207943116
"109",584068382
"110",180398614
"111",711042443
"112",1167084086
"113",1316588590
"114",515143920
"115",1952577584
"116",704763789
"117",912731882
"118",1171887279
"119",1962033265
"120",1017923006
"121",1919835347
"122",681680539
"123",2016546207
"124",1580185409
"125",1437877554
"126",1453332642
"127",744251608
"128",586390380
"129",1185939386
"130",36954462
"131",1543969872
"132",1065164401
"133",718799167
"134",103583246
"135",1199827841
"136",1433661835
"137",900371450
"138",2006900738
"139",201059146
"140",1663736830
"141",1466591793
"142",1133970030
"143",855644716
"144",1000807179
"145",1009152052
"146",1402471197
"147",497972306
"148",652475647
"149",1300515557
"150",1368141108
"151",1330350508
"152",889860914
"153",1881798978
"154",1784020192
"155",1350622100
"156",897497078
"157",840227134
"158",1029947334
"159",77292516
"160",1564236306
"161",574827900
"162",808408434
"163",754508400
"164",329258350
"165",1440592311
"166",262047899
"167",30311733
"168",941636279
"169",1757933159
"170",1683176041
"171",1991771216
"172",1358438905
"173",1185431149
"174",51413906
"175",1948911827
"176",123734567
"177",1417186062
"178",1007329371
"179",910195005
"180",556881830
"181",655707558
"182",121662052
"183",638476321
"184",224791982
"185",2024296317
"186",1017653710
"187",636516760
"188",731601144
"189",436125595
"190",1841641118
"191",1052569172
"192",2146762040
"193",919844323
"194",486978743
"195",1565931293
"196",1107172378
"197",802484386
"198",1847544031
"199",497973456
"200",1975625978
"201",1665419141
"202",261277948
"203",1637381618
"204",1506009715
"205",950404737
"206",1874043799
"207",33095695
"208",906239992
"209",1569953066
"210",283887331
"211",1764395219
"212",1759461696
"213",1718280757
"214",2064535729
"215",1904015993
"216",638084577
"217",2133121536
"218",391241157
"219",250158658
"220",925136105
"221",1659169885
"222",1063295865
"223",1914101412
"224",380796949
"225",1580735539
"226",322759869
"227",1018242747
"228",1326342474
"229",1588993278
"230",1976139218
"231",573530732
"232",1051059867
"233",2073331420
"234",1009897481
"235",749122070
"236",1547906765
"237",2070271482
"238",1562928819
"239",1545340865
"240",660552753
"241",698242766
"242",2108615297
"243",808297531
"244",799638543
"245",871170082
"246",1630503413
"247",104508918
"248",267484199
"249",774953291
"250",889788015
"251",660568110
"252",766322422
"253",1070912178
"254",111418458
"255",205063655
"256",1706224824
"257",584571294
"258",727002477
"259",992888891
"260",30627286
"261",462314540
"262",1318781808
"263",1743944756
"264",1230620712
"265",799627951
"266",2109350431
"267",1671130600
"268",338728963
"269",1250242745
"270",1938509368
"271",1474044637
"272",848820776
"273",1756833906
"274",1861589771
"275",28534654
"276",1176297172
"277",53963415
"278",1674718980
"279",1040256908
"280",284635973
"281",1764936148
"282",2132166431
"283",299117896
"284",138863615
"285",853710651
"286",1698230769
"287",379839759
"288",545260572
"289",203032493
"290",1039518820
"291",1083451942
"292",2122059553
"293",510527952
"294",1088393131
"295",107804131
"296",504616694
"297",1447650522
"298",976472566
"299",1931567462
"300",662175793
"301",9747904
"302",1866906815
"303",1827022620
"304",830407973
"305",963920520
"306",422664372
"307",1613556968
"308",176061424
"309",1787588814
"310",458030649
"311",1629594648
"312",1345302465
"313",648555071
"314",49266855
"315",1250586714
"316",555966448
"317",1180508265
"318",444354388
"319",1191191668
"320",1287682871
"321",269944188
"322",1513252891
"323",1103491852
"324",723012608
"325",1805163983
"326",1099658911
"327",683416964
"328",681829962
"329",1538405193
"330",1524280797
"331",1544940685
"332",1684222171
"333",1303412061
"334",893143854
"335",1531139181
"336",1581211242
"337",194426744
"338",1410200958
"339",318424589
"340",1504637330
"341",959772070
"342",415735130
"343",173621797
"344",106911450
"345",595841334
"346",1963641651
"347",747663973
"348",1559528874
"349",1363742099
"350",684001102
"351",1018107525
"352",703123938
"353",719302022
"354",144697358
"355",900058152
"356",1268590707
"357",214911996
"358",1470073032
"359",1538038983
"360",1401098853
"361",1421979297
"362",1361882640
"363",468521852
"364",1656686765
"365",211603237
"366",64076013
"367",88236331
"368",190303589
"369",524682704
"370",1122871637
"371",1393869770
"372",1686019936
"373",1687278628
"374",620256258
"375",2020786928
"376",521383777
"377",697460118
"378",211363884
"379",301579645
"380",1901755836
"381",2108538410
"382",1667253797
"383",672663312
"384",1022774244
"385",803026091
"386",404645429
"387",303585781
"388",331755757
"389",284909627
"390",606032250
"391",242092818
"392",444141930
"393",1648201126
"394",196751949
"395",407402216
"396",560043314
"397",848700540
"398",1578024272
"399",2045234001
"400",1884867691
"401",509301846
"402",755471696
"403",1743046156
"404",1252634621
"405",998511188
"406",60602153
"407",1467672946
"408",1625530119
"409",1199344998
"410",1906312712
"411",589835091
"412",1273649332
"413",1665868210
"414",2057210048
"415",110313436
"416",1208649709
"417",2125882159
"418",1363450542
"419",1309005001
"420",366735220
"421",1201251010
"422",480162771
"423",290314335
"424",223939139
"425",1740914112
"426",1226326262
"427",66905998
"428",120230505
"429",2104518909
"430",1060850892
"431",1748305204
"432",2144222926
"433",132490125
"434",381473431
"435",2101862895
"436",433049359
"437",1320252472
"438",597068181
"439",541179452
"440",499657242
"441",1044596529
"442",1640688440
"443",1874280569
"444",700334908
"445",1892012614
"446",1925360024
"447",295135094
"448",1577262967
"449",432781176
"450",103422697
"451",551119696
"452",2038965693
"453",996068014
"454",1540207042
"455",1848592293
"456",24272076
"457",885580199
"458",537224432
"459",712927981
"460",1501966903
"461",2085336931
"462",1221776397
"463",713452493
"464",1048993198
"465",975257742
"466",20373402
"467",1168193001
"468",1804492968
"469",1135260318
"470",819800644
"471",499990102
"472",616062301
"473",1039140410
"474",1439932581
"475",1480229338
"476",699894823
"477",1750042779
"478",1511193019
"479",1103384721
"480",208219117
"481",281441249
"482",527460369
"483",123973107
"484",1170426661
"485",1558170540
"486",670728514
"487",1404161862
"488",1319911494
"489",135403241
"490",1084600470
"491",1963819284
"492",784561681
"493",864684189
"494",711748868
"495",1113087812
"496",935929946
"497",1992127108
"498",1852825925
"499",1387271479
"500",1204314137
"501",214798917
"502",885199493
"503",200403635
"504",705599991
"505",1561757565
"506",2057850420
"507",1682717071
"508",845410728
"509",411737559
"510",1955660538
"511",1321374607
"512",1633068562
"513",1100820549
"514",462849260
"515",181912922
"516",1340880718
"517",1914985421
"518",1469001047
"519",1888563095
"520",1316778599
"521",585452621
"522",447171919
"523",785522548
"524",1325603472
"525",1260002762
"526",331041963
"527",665729431
"528",223010423
"529",1185615039
"530",1110632192
"531",1884808186
"532",949472310
"533",1625823065
"534",45766468
"535",1262528890
"536",1137679141
"537",166999227
"538",1929534415
"539",1266218860
"540",1397502935
"541",459881408
"542",75774020
"543",11907603
"544",688121940
"545",1128591067
"546",969993638
"547",2053439601
"548",1105247749
"549",1255491850
"550",43643974
"551",805724406
"552",1022036734
"553",1860015072
"554",286291907
"555",2132211475
"556",2107076760
"557",1739484095
"558",797448332
"559",757215866
"560",1480889607
"561",1625689522
"562",821300744
"563",917560538
"564",1402011903
"565",715622326
"566",835307517
"567",453389736
"568",255964423
"569",515035869
"570",1645601907
"571",830770947
"572",759461620
