"","stcov","estmethod","quantity","mean_result"
"1","product","reml","convergence",0.02
"2","productsum","reml","convergence",0.005
"3","sum_with_error","reml","convergence",0
"4","product","svwls","convergence",0
"5","productsum","svwls","convergence",0
"6","sum_with_error","svwls","convergence",0
"7","product","reml","counts",108.051
"8","productsum","reml","counts",74.017
"9","sum_with_error","reml","counts",65.482
"10","product","svwls","counts",739.05
"11","productsum","svwls","counts",1985.075
"12","sum_with_error","svwls","counts",1486.2615
"13","product","reml","optim_seconds",27.3322812260389
"14","productsum","reml","optim_seconds",70.7484797962904
"15","sum_with_error","reml","optim_seconds",16.5015727381706
"16","product","svwls","optim_seconds",0.285709234833717
"17","productsum","svwls","optim_seconds",0.856728464841843
"18","sum_with_error","svwls","optim_seconds",0.603565297365189
"19","product","reml","stemp_seconds",0
"20","productsum","reml","stemp_seconds",0
"21","sum_with_error","reml","stemp_seconds",0
"22","product","svwls","stemp_seconds",13.3055987876654
"23","productsum","svwls","stemp_seconds",13.3055987876654
"24","sum_with_error","svwls","stemp_seconds",13.3055987876654
"25","product","reml","value",3823.46248449612
"26","productsum","reml","value",3744.02663182635
"27","sum_with_error","reml","value",4708.78418514904
"28","product","svwls","value",7046.25507590768
"29","productsum","svwls","value",6636.81701635862
"30","sum_with_error","svwls","value",7001.9077828542
