"","stcov","estmethod","beta","typeone","mse","bias"
"1","ind","ols","beta1",0.617,0.629110530084986,0.00564299479106302
"2","ind","ols","beta2",0.518,0.498358159644563,-0.00961924887160151
"3","ind","ols","beta3",0.052,0.157556916321545,-0.00189094053351958
"4","product","reml","beta1",0.1185,0.529490261020296,0.00483662078160645
"5","product","reml","beta2",0.124,0.320101608937368,-0.00276927008666001
"6","product","reml","beta3",0.0485,0.0518494827243556,-0.000691133958837418
"7","product","svwls","beta1",0.1245,0.5115716136583,-0.00162671881282426
"8","product","svwls","beta2",0.166,0.325221739765677,-0.00268471785304498
"9","product","svwls","beta3",0.132,0.0560790394437798,-0.000412446538810003
"10","productsum","reml","beta1",0.05,0.48304874002136,-0.00201957910347238
"11","productsum","reml","beta2",0.0765,0.317770047624592,-0.00173602561768782
"12","productsum","reml","beta3",0.047,0.0512431236076993,-0.000299921447340765
"13","productsum","svwls","beta1",0.078,0.506517604604738,-0.00304283344391071
"14","productsum","svwls","beta2",0.1585,0.331955530432009,-0.00121546912371804
"15","productsum","svwls","beta3",0.087,0.0549578171036459,-0.000192080371778108
"16","sum_with_error","reml","beta1",0.05,0.497123302741082,-0.00510262937624846
"17","sum_with_error","reml","beta2",0.076,0.320596085893691,8.72392811984896e-05
"18","sum_with_error","reml","beta3",0.0475,0.0822562896476197,0.000711123059347597
"19","sum_with_error","svwls","beta1",0.052,0.505943728842925,-0.00260172578275054
"20","sum_with_error","svwls","beta2",0.1465,0.331246702232208,-0.00160536860151812
"21","sum_with_error","svwls","beta3",0.145,0.0824158088927117,0.000782822603683367
